dataset,node,direction,entropy
bitcoin-alpha,2282,out,0.0
bitcoin-alpha,2282,in,0.0
bitcoin-alpha,1519,out,0.0
bitcoin-alpha,1519,in,0.0
bitcoin-alpha,2966,out,0.0
bitcoin-alpha,2966,in,0.0
bitcoin-alpha,474,out,0.41381685030363385
bitcoin-alpha,474,in,0.0
bitcoin-alpha,330,out,0.7424875695421236
bitcoin-alpha,330,in,0.0
bitcoin-alpha,958,out,0.0
bitcoin-alpha,958,in,0.5032583347756459
bitcoin-alpha,17,out,0.0741494835779209
bitcoin-alpha,17,in,0.0758415063771473
bitcoin-alpha,1295,out,0.0
bitcoin-alpha,1295,in,0.0
bitcoin-alpha,38,out,0.23070995569147634
bitcoin-alpha,38,in,0.0
bitcoin-alpha,1952,out,0.0
bitcoin-alpha,1952,in,0.0
bitcoin-alpha,223,out,0.0
bitcoin-alpha,223,in,0.0
bitcoin-alpha,625,out,0.0
bitcoin-alpha,625,in,0.0
bitcoin-alpha,1392,out,0.0
bitcoin-alpha,1392,in,0.0
bitcoin-alpha,3355,out,0.0
bitcoin-alpha,3355,in,0.0
bitcoin-alpha,1881,out,0.0
bitcoin-alpha,1881,in,0.0
bitcoin-alpha,58,out,0.6350395330941945
bitcoin-alpha,58,in,0.2890794597316466
bitcoin-alpha,96,out,0.3424637724817958
bitcoin-alpha,96,in,0.0
bitcoin-alpha,1580,out,0.0
bitcoin-alpha,1580,in,0.0
bitcoin-alpha,196,out,0.6840384356390417
bitcoin-alpha,196,in,0.0
bitcoin-alpha,146,out,0.0
bitcoin-alpha,146,in,0.0
bitcoin-alpha,416,out,0.0
bitcoin-alpha,416,in,0.3912435636292555
bitcoin-alpha,1198,out,0.0
bitcoin-alpha,1198,in,0.0
bitcoin-alpha,3319,out,0.0
bitcoin-alpha,3319,in,0.0
bitcoin-alpha,1867,out,0.0
bitcoin-alpha,1867,in,0.0
bitcoin-alpha,896,out,0.0
bitcoin-alpha,896,in,0.0
bitcoin-alpha,617,out,0.0
bitcoin-alpha,617,in,0.4689955935892811
bitcoin-alpha,3300,out,0.0
bitcoin-alpha,3300,in,0.0
bitcoin-alpha,1877,out,0.0
bitcoin-alpha,1877,in,0.0
bitcoin-alpha,462,out,0.0
bitcoin-alpha,462,in,0.0
bitcoin-alpha,3279,out,0.0
bitcoin-alpha,3279,in,0.0
bitcoin-alpha,454,out,0.3712323266408755
bitcoin-alpha,454,in,0.0
bitcoin-alpha,1860,out,0.0
bitcoin-alpha,1860,in,0.0
bitcoin-alpha,121,out,0.0
bitcoin-alpha,121,in,0.0
bitcoin-alpha,151,out,0.2863969571159563
bitcoin-alpha,151,in,0.2863969571159563
bitcoin-alpha,1570,out,0.0
bitcoin-alpha,1570,in,0.0
bitcoin-alpha,1573,out,0.0
bitcoin-alpha,1573,in,0.0
bitcoin-alpha,1063,out,0.0
bitcoin-alpha,1063,in,0.0
bitcoin-alpha,1353,out,0.0
bitcoin-alpha,1353,in,0.0
bitcoin-alpha,459,out,0.0
bitcoin-alpha,459,in,0.0
bitcoin-alpha,2334,out,0.0
bitcoin-alpha,2334,in,0.0
bitcoin-alpha,1267,out,0.0
bitcoin-alpha,1267,in,0.0
bitcoin-alpha,1060,out,0.0
bitcoin-alpha,1060,in,0.0
bitcoin-alpha,1061,out,0.0
bitcoin-alpha,1061,in,0.0
bitcoin-alpha,7431,out,0.0
bitcoin-alpha,7431,in,0.9182958340544896
bitcoin-alpha,1355,out,0.0
bitcoin-alpha,1355,in,0.0
bitcoin-alpha,71,out,0.0
bitcoin-alpha,71,in,0.0
bitcoin-alpha,3070,out,0.0
bitcoin-alpha,3070,in,0.0
bitcoin-alpha,2113,out,0.0
bitcoin-alpha,2113,in,0.0
bitcoin-alpha,3001,out,0.0
bitcoin-alpha,3001,in,0.0
bitcoin-alpha,396,out,0.0
bitcoin-alpha,396,in,0.0
bitcoin-alpha,2260,out,0.0
bitcoin-alpha,2260,in,0.0
bitcoin-alpha,142,out,0.15374218032876202
bitcoin-alpha,142,in,0.34781691357106315
bitcoin-alpha,2238,out,0.0
bitcoin-alpha,2238,in,0.0
bitcoin-alpha,123,out,0.3095434291503253
bitcoin-alpha,123,in,0.0
bitcoin-alpha,2942,out,0.0
bitcoin-alpha,2942,in,0.0
bitcoin-alpha,1509,out,0.0
bitcoin-alpha,1509,in,0.0
bitcoin-alpha,7410,out,0.0
bitcoin-alpha,7410,in,0.9182958340544896
bitcoin-alpha,1760,out,0.3712323266408755
bitcoin-alpha,1760,in,0.41381685030363385
bitcoin-alpha,2876,out,0.0
bitcoin-alpha,2876,in,0.0
bitcoin-alpha,259,out,0.24229218908241493
bitcoin-alpha,259,in,0.0
bitcoin-alpha,1493,out,0.0
bitcoin-alpha,1493,in,0.0
bitcoin-alpha,2845,out,0.0
bitcoin-alpha,2845,in,0.0
bitcoin-alpha,370,out,0.3372900666170139
bitcoin-alpha,370,in,0.3533593350214213
bitcoin-alpha,2844,out,0.0
bitcoin-alpha,2844,in,0.0
bitcoin-alpha,2167,out,0.0
bitcoin-alpha,2167,in,0.0
bitcoin-alpha,156,out,0.14609425012013647
bitcoin-alpha,156,in,0.0
bitcoin-alpha,2808,out,0.0
bitcoin-alpha,2808,in,0.0
bitcoin-alpha,255,out,0.0
bitcoin-alpha,255,in,0.19143325481419346
bitcoin-alpha,736,out,0.0
bitcoin-alpha,736,in,0.0
bitcoin-alpha,7603,out,0.11327430349709663
bitcoin-alpha,7603,in,0.989884644089986
bitcoin-alpha,346,out,0.0
bitcoin-alpha,346,in,0.0
bitcoin-alpha,9,out,0.526136101378073
bitcoin-alpha,9,in,0.2974722489192898
bitcoin-alpha,75,out,0.0
bitcoin-alpha,75,in,0.0
bitcoin-alpha,175,out,0.0
bitcoin-alpha,175,in,0.0
bitcoin-alpha,2754,out,0.0
bitcoin-alpha,2754,in,0.0
bitcoin-alpha,22,out,0.405977038475571
bitcoin-alpha,22,in,0.1381572285625264
bitcoin-alpha,155,out,0.2918182565988859
bitcoin-alpha,155,in,0.0
bitcoin-alpha,1261,out,0.0
bitcoin-alpha,1261,in,0.0
bitcoin-alpha,2552,out,0.0
bitcoin-alpha,2552,in,0.0
bitcoin-alpha,2586,out,0.0
bitcoin-alpha,2586,in,0.0
bitcoin-alpha,710,out,0.0
bitcoin-alpha,710,in,0.0
bitcoin-alpha,578,out,0.0
bitcoin-alpha,578,in,0.0
bitcoin-alpha,472,out,0.0
bitcoin-alpha,472,in,0.0
bitcoin-alpha,2472,out,0.0
bitcoin-alpha,2472,in,0.0
bitcoin-alpha,1606,out,0.0
bitcoin-alpha,1606,in,0.0
bitcoin-alpha,4,out,0.18378432117443053
bitcoin-alpha,4,in,0.0
bitcoin-alpha,563,out,0.0
bitcoin-alpha,563,in,0.0
bitcoin-alpha,744,out,0.0
bitcoin-alpha,744,in,0.0
bitcoin-alpha,3422,out,0.0
bitcoin-alpha,3422,in,0.0
bitcoin-alpha,250,out,0.0
bitcoin-alpha,250,in,0.0
bitcoin-alpha,249,out,0.43055186701043946
bitcoin-alpha,249,in,0.2222848306856879
bitcoin-alpha,2427,out,0.0
bitcoin-alpha,2427,in,0.0
bitcoin-alpha,3414,out,0.0
bitcoin-alpha,3414,in,0.0
bitcoin-alpha,1590,out,0.0
bitcoin-alpha,1590,in,0.0
bitcoin-alpha,2305,out,0.0
bitcoin-alpha,2305,in,0.0
bitcoin-alpha,1900,out,0.0
bitcoin-alpha,1900,in,0.0
bitcoin-alpha,3392,out,0.0
bitcoin-alpha,3392,in,0.0
bitcoin-alpha,1065,out,0.0
bitcoin-alpha,1065,in,0.0
bitcoin-alpha,1147,out,0.5032583347756459
bitcoin-alpha,1147,in,0.0
bitcoin-alpha,1072,out,0.0
bitcoin-alpha,1072,in,0.0
bitcoin-alpha,3375,out,0.0
bitcoin-alpha,3375,in,0.0
bitcoin-alpha,1024,out,0.8112781244591328
bitcoin-alpha,1024,in,0.0
bitcoin-alpha,709,out,0.0
bitcoin-alpha,709,in,0.0
bitcoin-alpha,1382,out,0.0
bitcoin-alpha,1382,in,0.0
bitcoin-alpha,3332,out,0.0
bitcoin-alpha,3332,in,0.0
bitcoin-alpha,1885,out,0.0
bitcoin-alpha,1885,in,0.0
bitcoin-alpha,3330,out,0.0
bitcoin-alpha,3330,in,0.0
bitcoin-alpha,1197,out,0.0
bitcoin-alpha,1197,in,0.0
bitcoin-alpha,3316,out,0.0
bitcoin-alpha,3316,in,0.0
bitcoin-alpha,1886,out,0.0
bitcoin-alpha,1886,in,0.0
bitcoin-alpha,154,out,0.13923299905509906
bitcoin-alpha,154,in,0.0
bitcoin-alpha,1522,out,0.9709505944546686
bitcoin-alpha,1522,in,0.0
bitcoin-alpha,2391,out,0.9182958340544896
bitcoin-alpha,2391,in,0.0
bitcoin-alpha,3298,out,0.0
bitcoin-alpha,3298,in,0.0
bitcoin-alpha,432,out,0.0
bitcoin-alpha,432,in,0.0
bitcoin-alpha,3292,out,0.0
bitcoin-alpha,3292,in,0.0
bitcoin-alpha,3290,out,0.0
bitcoin-alpha,3290,in,0.0
bitcoin-alpha,7597,out,0.0
bitcoin-alpha,7597,in,0.0
bitcoin-alpha,3274,out,0.0
bitcoin-alpha,3274,in,0.0
bitcoin-alpha,1875,out,0.0
bitcoin-alpha,1875,in,0.0
bitcoin-alpha,291,out,0.0
bitcoin-alpha,291,in,0.0
bitcoin-alpha,158,out,0.0
bitcoin-alpha,158,in,0.0
bitcoin-alpha,1579,out,0.0
bitcoin-alpha,1579,in,0.8112781244591328
bitcoin-alpha,1846,out,0.0
bitcoin-alpha,1846,in,0.0
bitcoin-alpha,1066,out,0.0
bitcoin-alpha,1066,in,0.0
bitcoin-alpha,290,out,0.0
bitcoin-alpha,290,in,0.0
bitcoin-alpha,3233,out,0.0
bitcoin-alpha,3233,in,0.0
bitcoin-alpha,891,out,0.0
bitcoin-alpha,891,in,0.0
bitcoin-alpha,247,out,0.3227569588973983
bitcoin-alpha,247,in,0.3095434291503253
bitcoin-alpha,1856,out,0.0
bitcoin-alpha,1856,in,0.7219280948873623
bitcoin-alpha,3211,out,0.0
bitcoin-alpha,3211,in,0.0
bitcoin-alpha,115,out,0.0
bitcoin-alpha,115,in,0.0
bitcoin-alpha,1365,out,0.0
bitcoin-alpha,1365,in,0.0
bitcoin-alpha,483,out,0.0
bitcoin-alpha,483,in,0.0
bitcoin-alpha,3210,out,0.0
bitcoin-alpha,3210,in,0.0
bitcoin-alpha,3189,out,0.0
bitcoin-alpha,3189,in,0.0
bitcoin-alpha,3193,out,0.0
bitcoin-alpha,3193,in,0.0
bitcoin-alpha,2352,out,0.0
bitcoin-alpha,2352,in,0.0
bitcoin-alpha,1847,out,0.0
bitcoin-alpha,1847,in,0.0
bitcoin-alpha,3173,out,0.0
bitcoin-alpha,3173,in,0.0
bitcoin-alpha,1051,out,0.0
bitcoin-alpha,1051,in,0.0
bitcoin-alpha,1843,out,0.0
bitcoin-alpha,1843,in,0.0
bitcoin-alpha,2342,out,0.0
bitcoin-alpha,2342,in,0.0
bitcoin-alpha,7341,out,0.0
bitcoin-alpha,7341,in,0.4689955935892811
bitcoin-alpha,3139,out,0.0
bitcoin-alpha,3139,in,0.0
bitcoin-alpha,1186,out,0.0
bitcoin-alpha,1186,in,0.0
bitcoin-alpha,3167,out,0.0
bitcoin-alpha,3167,in,0.0
bitcoin-alpha,3149,out,0.0
bitcoin-alpha,3149,in,0.0
bitcoin-alpha,1842,out,0.0
bitcoin-alpha,1842,in,0.0
bitcoin-alpha,3156,out,0.0
bitcoin-alpha,3156,in,0.0
bitcoin-alpha,3141,out,0.0
bitcoin-alpha,3141,in,0.0
bitcoin-alpha,817,out,0.0
bitcoin-alpha,817,in,0.0
bitcoin-alpha,1840,out,0.0
bitcoin-alpha,1840,in,0.0
bitcoin-alpha,1839,out,0.0
bitcoin-alpha,1839,in,0.0
bitcoin-alpha,2324,out,0.0
bitcoin-alpha,2324,in,0.0
bitcoin-alpha,3143,out,0.0
bitcoin-alpha,3143,in,0.0
bitcoin-alpha,3142,out,0.0
bitcoin-alpha,3142,in,0.0
bitcoin-alpha,174,out,0.7219280948873623
bitcoin-alpha,174,in,0.0
bitcoin-alpha,2315,out,0.0
bitcoin-alpha,2315,in,0.0
bitcoin-alpha,1356,out,0.0
bitcoin-alpha,1356,in,0.0
bitcoin-alpha,1835,out,0.0
bitcoin-alpha,1835,in,0.0
bitcoin-alpha,296,out,0.0
bitcoin-alpha,296,in,0.2974722489192898
bitcoin-alpha,3118,out,0.0
bitcoin-alpha,3118,in,0.0
bitcoin-alpha,1542,out,0.0
bitcoin-alpha,1542,in,0.0
bitcoin-alpha,3111,out,0.0
bitcoin-alpha,3111,in,0.0
bitcoin-alpha,753,out,0.0
bitcoin-alpha,753,in,0.0
bitcoin-alpha,3088,out,0.0
bitcoin-alpha,3088,in,0.0
bitcoin-alpha,395,out,0.0
bitcoin-alpha,395,in,0.3227569588973983
bitcoin-alpha,3068,out,0.0
bitcoin-alpha,3068,in,0.0
bitcoin-alpha,3042,out,0.0
bitcoin-alpha,3042,in,0.0
bitcoin-alpha,1442,out,0.0
bitcoin-alpha,1442,in,0.0
bitcoin-alpha,1339,out,0.0
bitcoin-alpha,1339,in,0.0
bitcoin-alpha,596,out,0.4394969869215134
bitcoin-alpha,596,in,0.0
bitcoin-alpha,2281,out,0.0
bitcoin-alpha,2281,in,0.0
bitcoin-alpha,222,out,0.5665095065529052
bitcoin-alpha,222,in,0.3712323266408755
bitcoin-alpha,194,out,0.3372900666170139
bitcoin-alpha,194,in,0.3095434291503253
bitcoin-alpha,3064,out,0.0
bitcoin-alpha,3064,in,0.0
bitcoin-alpha,1812,out,0.0
bitcoin-alpha,1812,in,0.0
bitcoin-alpha,1796,out,0.0
bitcoin-alpha,1796,in,0.0
bitcoin-alpha,701,out,0.0
bitcoin-alpha,701,in,0.41381685030363385
bitcoin-alpha,124,out,0.0
bitcoin-alpha,124,in,0.6360156177392154
bitcoin-alpha,3057,out,0.0
bitcoin-alpha,3057,in,0.0
bitcoin-alpha,7427,out,0.0
bitcoin-alpha,7427,in,0.9182958340544896
bitcoin-alpha,2276,out,0.0
bitcoin-alpha,2276,in,0.0
bitcoin-alpha,2271,out,0.0
bitcoin-alpha,2271,in,0.0
bitcoin-alpha,1525,out,0.0
bitcoin-alpha,1525,in,0.0
bitcoin-alpha,2235,out,0.0
bitcoin-alpha,2235,in,0.0
bitcoin-alpha,3027,out,0.0
bitcoin-alpha,3027,in,0.0
bitcoin-alpha,2090,out,0.0
bitcoin-alpha,2090,in,0.0
bitcoin-alpha,1342,out,0.0
bitcoin-alpha,1342,in,0.0
bitcoin-alpha,331,out,0.0
bitcoin-alpha,331,in,0.3372900666170139
bitcoin-alpha,3023,out,0.0
bitcoin-alpha,3023,in,0.0
bitcoin-alpha,2261,out,0.0
bitcoin-alpha,2261,in,0.0
bitcoin-alpha,68,out,0.6840384356390417
bitcoin-alpha,68,in,0.31599713297842474
bitcoin-alpha,116,out,0.14609425012013647
bitcoin-alpha,116,in,0.14854949043034832
bitcoin-alpha,1043,out,0.0
bitcoin-alpha,1043,in,0.5032583347756459
bitcoin-alpha,3020,out,0.0
bitcoin-alpha,3020,in,0.0
bitcoin-alpha,491,out,0.739480936716638
bitcoin-alpha,491,in,0.8524051786494786
bitcoin-alpha,179,out,0.9090221560878149
bitcoin-alpha,179,in,0.0
bitcoin-alpha,2252,out,0.0
bitcoin-alpha,2252,in,0.0
bitcoin-alpha,214,out,0.27619542764793925
bitcoin-alpha,214,in,0.5586293734521992
bitcoin-alpha,439,out,0.0
bitcoin-alpha,439,in,0.0
bitcoin-alpha,2147,out,0.0
bitcoin-alpha,2147,in,0.0
bitcoin-alpha,1167,out,0.0
bitcoin-alpha,1167,in,0.0
bitcoin-alpha,697,out,0.0
bitcoin-alpha,697,in,0.0
bitcoin-alpha,67,out,0.0
bitcoin-alpha,67,in,0.0
bitcoin-alpha,1793,out,0.0
bitcoin-alpha,1793,in,0.0
bitcoin-alpha,258,out,0.0
bitcoin-alpha,258,in,0.24988229283318536
bitcoin-alpha,1340,out,0.0
bitcoin-alpha,1340,in,0.0
bitcoin-alpha,2996,out,0.0
bitcoin-alpha,2996,in,0.0
bitcoin-alpha,1520,out,0.0
bitcoin-alpha,1520,in,0.0
bitcoin-alpha,1336,out,0.6500224216483541
bitcoin-alpha,1336,in,0.0
bitcoin-alpha,30,out,0.7376423801856891
bitcoin-alpha,30,in,0.0
bitcoin-alpha,178,out,0.0
bitcoin-alpha,178,in,0.0
bitcoin-alpha,747,out,0.0
bitcoin-alpha,747,in,0.0
bitcoin-alpha,2962,out,0.0
bitcoin-alpha,2962,in,0.0
bitcoin-alpha,2952,out,0.0
bitcoin-alpha,2952,in,0.0
bitcoin-alpha,455,out,0.0
bitcoin-alpha,455,in,0.0
bitcoin-alpha,260,out,0.21084230031853213
bitcoin-alpha,260,in,0.0
bitcoin-alpha,623,out,0.0
bitcoin-alpha,623,in,0.3912435636292555
bitcoin-alpha,29,out,0.11327430349709663
bitcoin-alpha,29,in,0.0
bitcoin-alpha,1510,out,0.0
bitcoin-alpha,1510,in,0.0
bitcoin-alpha,2927,out,0.0
bitcoin-alpha,2927,in,0.0
bitcoin-alpha,301,out,0.4689955935892811
bitcoin-alpha,301,in,0.0
bitcoin-alpha,2907,out,0.0
bitcoin-alpha,2907,in,0.0
bitcoin-alpha,2909,out,0.0
bitcoin-alpha,2909,in,0.0
bitcoin-alpha,1148,out,0.0
bitcoin-alpha,1148,in,0.0
bitcoin-alpha,955,out,0.0
bitcoin-alpha,955,in,0.0
bitcoin-alpha,1502,out,0.0
bitcoin-alpha,1502,in,0.7219280948873623
bitcoin-alpha,2853,out,0.0
bitcoin-alpha,2853,in,0.0
bitcoin-alpha,1500,out,0.0
bitcoin-alpha,1500,in,0.0
bitcoin-alpha,2178,out,0.0
bitcoin-alpha,2178,in,0.0
bitcoin-alpha,1320,out,0.0
bitcoin-alpha,1320,in,0.0
bitcoin-alpha,874,out,0.0
bitcoin-alpha,874,in,0.0
bitcoin-alpha,2177,out,0.0
bitcoin-alpha,2177,in,0.0
bitcoin-alpha,2892,out,0.0
bitcoin-alpha,2892,in,0.0
bitcoin-alpha,636,out,0.0
bitcoin-alpha,636,in,0.0
bitcoin-alpha,1034,out,0.0
bitcoin-alpha,1034,in,0.0
bitcoin-alpha,1494,out,0.0
bitcoin-alpha,1494,in,0.0
bitcoin-alpha,276,out,0.0
bitcoin-alpha,276,in,0.0
bitcoin-alpha,1318,out,0.0
bitcoin-alpha,1318,in,0.0
bitcoin-alpha,117,out,0.3013786435930859
bitcoin-alpha,117,in,0.2285381439535282
bitcoin-alpha,1492,out,0.0
bitcoin-alpha,1492,in,0.0
bitcoin-alpha,1302,out,0.0
bitcoin-alpha,1302,in,0.0
bitcoin-alpha,1313,out,0.0
bitcoin-alpha,1313,in,0.0
bitcoin-alpha,1491,out,0.0
bitcoin-alpha,1491,in,0.0
bitcoin-alpha,2870,out,0.0
bitcoin-alpha,2870,in,0.0
bitcoin-alpha,2181,out,0.0
bitcoin-alpha,2181,in,0.0
bitcoin-alpha,1309,out,0.0
bitcoin-alpha,1309,in,0.0
bitcoin-alpha,1750,out,0.0
bitcoin-alpha,1750,in,0.0
bitcoin-alpha,2848,out,0.0
bitcoin-alpha,2848,in,0.0
bitcoin-alpha,1458,out,0.0
bitcoin-alpha,1458,in,0.0
bitcoin-alpha,951,out,0.0
bitcoin-alpha,951,in,0.0
bitcoin-alpha,1029,out,0.0
bitcoin-alpha,1029,in,0.0
bitcoin-alpha,2176,out,0.0
bitcoin-alpha,2176,in,0.0
bitcoin-alpha,2846,out,0.0
bitcoin-alpha,2846,in,0.0
bitcoin-alpha,347,out,0.0
bitcoin-alpha,347,in,0.3095434291503253
bitcoin-alpha,2173,out,0.0
bitcoin-alpha,2173,in,0.0
bitcoin-alpha,2826,out,0.0
bitcoin-alpha,2826,in,0.0
bitcoin-alpha,1742,out,0.0
bitcoin-alpha,1742,in,0.0
bitcoin-alpha,2166,out,0.0
bitcoin-alpha,2166,in,0.0
bitcoin-alpha,2823,out,0.0
bitcoin-alpha,2823,in,0.0
bitcoin-alpha,2820,out,0.0
bitcoin-alpha,2820,in,0.0
bitcoin-alpha,2814,out,0.0
bitcoin-alpha,2814,in,0.0
bitcoin-alpha,1736,out,0.0
bitcoin-alpha,1736,in,0.0
bitcoin-alpha,1025,out,0.0
bitcoin-alpha,1025,in,0.0
bitcoin-alpha,1482,out,0.7219280948873623
bitcoin-alpha,1482,in,0.0
bitcoin-alpha,1483,out,0.0
bitcoin-alpha,1483,in,0.0
bitcoin-alpha,2152,out,0.0
bitcoin-alpha,2152,in,0.0
bitcoin-alpha,2806,out,0.0
bitcoin-alpha,2806,in,0.0
bitcoin-alpha,1128,out,0.0
bitcoin-alpha,1128,in,0.0
bitcoin-alpha,2801,out,0.0
bitcoin-alpha,2801,in,0.0
bitcoin-alpha,2795,out,0.0
bitcoin-alpha,2795,in,0.0
bitcoin-alpha,1290,out,0.0
bitcoin-alpha,1290,in,0.0
bitcoin-alpha,1288,out,0.0
bitcoin-alpha,1288,in,0.0
bitcoin-alpha,1436,out,0.0
bitcoin-alpha,1436,in,0.0
bitcoin-alpha,2498,out,0.0
bitcoin-alpha,2498,in,0.0
bitcoin-alpha,2784,out,0.0
bitcoin-alpha,2784,in,0.0
bitcoin-alpha,587,out,0.3912435636292555
bitcoin-alpha,587,in,0.0
bitcoin-alpha,2780,out,0.0
bitcoin-alpha,2780,in,0.0
bitcoin-alpha,2779,out,0.0
bitcoin-alpha,2779,in,0.0
bitcoin-alpha,305,out,0.0
bitcoin-alpha,305,in,0.0
bitcoin-alpha,944,out,0.0
bitcoin-alpha,944,in,0.0
bitcoin-alpha,2129,out,0.0
bitcoin-alpha,2129,in,0.0
bitcoin-alpha,683,out,0.0
bitcoin-alpha,683,in,0.0
bitcoin-alpha,42,out,0.16866093149667033
bitcoin-alpha,42,in,0.0
bitcoin-alpha,1136,out,0.0
bitcoin-alpha,1136,in,0.0
bitcoin-alpha,1283,out,0.0
bitcoin-alpha,1283,in,0.0
bitcoin-alpha,2127,out,0.0
bitcoin-alpha,2127,in,0.0
bitcoin-alpha,2093,out,0.0
bitcoin-alpha,2093,in,0.0
bitcoin-alpha,1284,out,0.0
bitcoin-alpha,1284,in,0.0
bitcoin-alpha,72,out,0.15374218032876202
bitcoin-alpha,72,in,0.15109697051711363
bitcoin-alpha,264,out,0.2863969571159563
bitcoin-alpha,264,in,0.0
bitcoin-alpha,2756,out,0.0
bitcoin-alpha,2756,in,0.0
bitcoin-alpha,1285,out,0.0
bitcoin-alpha,1285,in,0.0
bitcoin-alpha,613,out,0.0
bitcoin-alpha,613,in,0.6962122601251458
bitcoin-alpha,304,out,0.0
bitcoin-alpha,304,in,0.3372900666170139
