LEAD 4: NODE SIGN-ENTROPY HETEROGENEITY vs. AUC -- raw per-cell data (canonical, shared edges)
Same numbers as the PNGs / report.md tables, in plain text.

=== bitcoin-alpha | variant=out_out | binning=fixed | n_buckets=2 | model=walk_full ===
src_entropy_range	tgt_entropy_range	auc	n	note
0.7500-0.8125	0.1250-0.1875		0	empty
0.8125-0.8750	0.1250-0.1875		1	below_min_n
0.8750-0.9375	0.1250-0.1875		1	below_min_n
0.9375-1.0000	0.1250-0.1875		1	below_min_n
0.0000-0.0625	0.1875-0.2500		65	single_class
0.0625-0.1250	0.1875-0.2500		5	below_min_n
0.1250-0.1875	0.1875-0.2500		6	below_min_n
0.1875-0.2500	0.1875-0.2500		8	below_min_n
0.2500-0.3125	0.1875-0.2500		3	below_min_n
0.3125-0.3750	0.1875-0.2500		7	below_min_n
0.3750-0.4375	0.1875-0.2500		5	below_min_n
0.4375-0.5000	0.1875-0.2500		2	below_min_n
0.5000-0.5625	0.1875-0.2500		4	below_min_n
0.5625-0.6250	0.1875-0.2500		5	below_min_n
0.6250-0.6875	0.1875-0.2500		3	below_min_n
0.6875-0.7500	0.1875-0.2500		1	below_min_n
0.7500-0.8125	0.1875-0.2500		3	below_min_n
0.8125-0.8750	0.1875-0.2500		0	empty
0.8750-0.9375	0.1875-0.2500		2	below_min_n
0.9375-1.0000	0.1875-0.2500		2	below_min_n
0.0000-0.0625	0.2500-0.3125		40	single_class
0.0625-0.1250	0.2500-0.3125		2	below_min_n
0.1250-0.1875	0.2500-0.3125		1	below_min_n
0.1875-0.2500	0.2500-0.3125		3	below_min_n
0.2500-0.3125	0.2500-0.3125		5	below_min_n
0.3125-0.3750	0.2500-0.3125		5	below_min_n
0.3750-0.4375	0.2500-0.3125		4	below_min_n
0.4375-0.5000	0.2500-0.3125		4	below_min_n
0.5000-0.5625	0.2500-0.3125		8	below_min_n
0.5625-0.6250	0.2500-0.3125		2	below_min_n
0.6250-0.6875	0.2500-0.3125		2	below_min_n
0.6875-0.7500	0.2500-0.3125		3	below_min_n
0.7500-0.8125	0.2500-0.3125		0	empty
0.8125-0.8750	0.2500-0.3125		2	below_min_n
0.8750-0.9375	0.2500-0.3125		1	below_min_n
0.9375-1.0000	0.2500-0.3125		1	below_min_n
0.0000-0.0625	0.3125-0.3750		50	single_class
0.0625-0.1250	0.3125-0.3750		1	below_min_n
0.1250-0.1875	0.3125-0.3750		10	below_min_n
0.1875-0.2500	0.3125-0.3750		6	below_min_n
0.2500-0.3125	0.3125-0.3750		9	below_min_n
0.3125-0.3750	0.3125-0.3750		5	below_min_n
0.3750-0.4375	0.3125-0.3750		5	below_min_n
0.4375-0.5000	0.3125-0.3750		5	below_min_n
0.5000-0.5625	0.3125-0.3750		9	below_min_n
0.5625-0.6250	0.3125-0.3750		6	below_min_n
0.6250-0.6875	0.3125-0.3750		2	below_min_n
0.6875-0.7500	0.3125-0.3750		6	below_min_n
0.7500-0.8125	0.3125-0.3750		2	below_min_n
0.8125-0.8750	0.3125-0.3750		3	below_min_n
0.8750-0.9375	0.3125-0.3750		2	below_min_n
0.9375-1.0000	0.3125-0.3750		4	below_min_n
0.0000-0.0625	0.3750-0.4375		56	single_class
0.0625-0.1250	0.3750-0.4375		2	below_min_n
0.1250-0.1875	0.3750-0.4375		5	below_min_n
0.1875-0.2500	0.3750-0.4375		7	below_min_n
0.2500-0.3125	0.3750-0.4375		7	below_min_n
0.3125-0.3750	0.3750-0.4375		6	below_min_n
0.3750-0.4375	0.3750-0.4375		4	below_min_n
0.4375-0.5000	0.3750-0.4375		3	below_min_n
0.5000-0.5625	0.3750-0.4375		5	below_min_n
0.5625-0.6250	0.3750-0.4375		2	below_min_n
0.6250-0.6875	0.3750-0.4375		2	below_min_n
0.6875-0.7500	0.3750-0.4375		4	below_min_n
0.7500-0.8125	0.3750-0.4375		2	below_min_n
0.8125-0.8750	0.3750-0.4375		1	below_min_n
0.8750-0.9375	0.3750-0.4375		5	below_min_n
0.9375-1.0000	0.3750-0.4375		3	below_min_n
0.0000-0.0625	0.4375-0.5000		27	single_class
0.0625-0.1250	0.4375-0.5000		2	below_min_n
0.1250-0.1875	0.4375-0.5000		10	below_min_n
0.1875-0.2500	0.4375-0.5000		4	below_min_n
0.2500-0.3125	0.4375-0.5000		5	below_min_n
0.3125-0.3750	0.4375-0.5000		8	below_min_n
0.3750-0.4375	0.4375-0.5000		3	below_min_n
0.4375-0.5000	0.4375-0.5000		3	below_min_n
0.5000-0.5625	0.4375-0.5000		3	below_min_n
0.5625-0.6250	0.4375-0.5000		0	empty
0.6250-0.6875	0.4375-0.5000		1	below_min_n
0.6875-0.7500	0.4375-0.5000		3	below_min_n
0.7500-0.8125	0.4375-0.5000		3	below_min_n
0.8125-0.8750	0.4375-0.5000		2	below_min_n
0.8750-0.9375	0.4375-0.5000		1	below_min_n
0.9375-1.0000	0.4375-0.5000		1	below_min_n
0.0000-0.0625	0.5000-0.5625		46	single_class
0.0625-0.1250	0.5000-0.5625		2	below_min_n
0.1250-0.1875	0.5000-0.5625		5	below_min_n
0.1875-0.2500	0.5000-0.5625		4	below_min_n
0.2500-0.3125	0.5000-0.5625		6	below_min_n
0.3125-0.3750	0.5000-0.5625		3	below_min_n
0.3750-0.4375	0.5000-0.5625		6	below_min_n
0.4375-0.5000	0.5000-0.5625		2	below_min_n
0.5000-0.5625	0.5000-0.5625		1	below_min_n
0.5625-0.6250	0.5000-0.5625		2	below_min_n
0.6250-0.6875	0.5000-0.5625		4	below_min_n
0.6875-0.7500	0.5000-0.5625		4	below_min_n
0.7500-0.8125	0.5000-0.5625		1	below_min_n
0.8125-0.8750	0.5000-0.5625		2	below_min_n
0.8750-0.9375	0.5000-0.5625		4	below_min_n
0.9375-1.0000	0.5000-0.5625		0	empty
0.0000-0.0625	0.5625-0.6250		12	below_min_n
0.0625-0.1250	0.5625-0.6250		1	below_min_n
0.1250-0.1875	0.5625-0.6250		4	below_min_n
0.1875-0.2500	0.5625-0.6250		2	below_min_n
0.2500-0.3125	0.5625-0.6250		1	below_min_n
0.3125-0.3750	0.5625-0.6250		0	empty
0.3750-0.4375	0.5625-0.6250		1	below_min_n
0.4375-0.5000	0.5625-0.6250		1	below_min_n
0.5000-0.5625	0.5625-0.6250		0	empty
0.5625-0.6250	0.5625-0.6250		2	below_min_n
0.6250-0.6875	0.5625-0.6250		1	below_min_n
0.6875-0.7500	0.5625-0.6250		2	below_min_n
0.7500-0.8125	0.5625-0.6250		0	empty
0.8125-0.8750	0.5625-0.6250		2	below_min_n
0.8750-0.9375	0.5625-0.6250		1	below_min_n
0.9375-1.0000	0.5625-0.6250		0	empty
0.0000-0.0625	0.6250-0.6875	0.7931	30	
0.0625-0.1250	0.6250-0.6875		0	empty
0.1250-0.1875	0.6250-0.6875		3	below_min_n
0.1875-0.2500	0.6250-0.6875		2	below_min_n
0.2500-0.3125	0.6250-0.6875		2	below_min_n
0.3125-0.3750	0.6250-0.6875		2	below_min_n
0.3750-0.4375	0.6250-0.6875		7	below_min_n
0.4375-0.5000	0.6250-0.6875		0	empty
0.5000-0.5625	0.6250-0.6875		2	below_min_n
0.5625-0.6250	0.6250-0.6875		2	below_min_n
0.6250-0.6875	0.6250-0.6875		0	empty
0.6875-0.7500	0.6250-0.6875		3	below_min_n
0.7500-0.8125	0.6250-0.6875		2	below_min_n
0.8125-0.8750	0.6250-0.6875		0	empty
0.8750-0.9375	0.6250-0.6875		1	below_min_n
0.9375-1.0000	0.6250-0.6875		1	below_min_n
0.0000-0.0625	0.6875-0.7500		26	single_class
0.0625-0.1250	0.6875-0.7500		2	below_min_n
0.1250-0.1875	0.6875-0.7500		4	below_min_n
0.1875-0.2500	0.6875-0.7500		4	below_min_n
0.2500-0.3125	0.6875-0.7500		1	below_min_n
0.3125-0.3750	0.6875-0.7500		1	below_min_n
0.3750-0.4375	0.6875-0.7500		3	below_min_n
0.4375-0.5000	0.6875-0.7500		4	below_min_n
0.5000-0.5625	0.6875-0.7500		1	below_min_n
0.5625-0.6250	0.6875-0.7500		1	below_min_n
0.6250-0.6875	0.6875-0.7500		1	below_min_n
0.6875-0.7500	0.6875-0.7500		4	below_min_n
0.7500-0.8125	0.6875-0.7500		1	below_min_n
0.8125-0.8750	0.6875-0.7500		1	below_min_n
0.8750-0.9375	0.6875-0.7500		2	below_min_n
0.9375-1.0000	0.6875-0.7500		2	below_min_n
0.0000-0.0625	0.7500-0.8125		18	below_min_n
0.0625-0.1250	0.7500-0.8125		0	empty
0.1250-0.1875	0.7500-0.8125		2	below_min_n
0.1875-0.2500	0.7500-0.8125		3	below_min_n
0.2500-0.3125	0.7500-0.8125		1	below_min_n
0.3125-0.3750	0.7500-0.8125		0	empty
0.3750-0.4375	0.7500-0.8125		1	below_min_n
0.4375-0.5000	0.7500-0.8125		4	below_min_n
0.5000-0.5625	0.7500-0.8125		2	below_min_n
0.5625-0.6250	0.7500-0.8125		1	below_min_n
0.6250-0.6875	0.7500-0.8125		8	below_min_n
0.6875-0.7500	0.7500-0.8125		3	below_min_n
0.7500-0.8125	0.7500-0.8125		3	below_min_n
0.8125-0.8750	0.7500-0.8125		2	below_min_n
0.8750-0.9375	0.7500-0.8125		1	below_min_n
0.9375-1.0000	0.7500-0.8125		0	empty
0.0000-0.0625	0.8125-0.8750		20	single_class
0.0625-0.1250	0.8125-0.8750		1	below_min_n
0.1250-0.1875	0.8125-0.8750		3	below_min_n
0.1875-0.2500	0.8125-0.8750		1	below_min_n
0.2500-0.3125	0.8125-0.8750		2	below_min_n
0.3125-0.3750	0.8125-0.8750		3	below_min_n
0.3750-0.4375	0.8125-0.8750		4	below_min_n
0.4375-0.5000	0.8125-0.8750		0	empty
0.5000-0.5625	0.8125-0.8750		2	below_min_n
0.5625-0.6250	0.8125-0.8750		2	below_min_n
0.6250-0.6875	0.8125-0.8750		1	below_min_n
0.6875-0.7500	0.8125-0.8750		2	below_min_n
0.7500-0.8125	0.8125-0.8750		0	empty
0.8125-0.8750	0.8125-0.8750		0	empty
0.8750-0.9375	0.8125-0.8750		1	below_min_n
0.9375-1.0000	0.8125-0.8750		3	below_min_n
0.0000-0.0625	0.8750-0.9375		6	below_min_n
0.0625-0.1250	0.8750-0.9375		1	below_min_n
0.1250-0.1875	0.8750-0.9375		2	below_min_n
0.1875-0.2500	0.8750-0.9375		2	below_min_n
0.2500-0.3125	0.8750-0.9375		1	below_min_n
0.3125-0.3750	0.8750-0.9375		1	below_min_n
0.3750-0.4375	0.8750-0.9375		1	below_min_n
0.4375-0.5000	0.8750-0.9375		2	below_min_n
0.5000-0.5625	0.8750-0.9375		1	below_min_n
0.5625-0.6250	0.8750-0.9375		1	below_min_n
0.6250-0.6875	0.8750-0.9375		0	empty
0.6875-0.7500	0.8750-0.9375		2	below_min_n
0.7500-0.8125	0.8750-0.9375		2	below_min_n
0.8125-0.8750	0.8750-0.9375		0	empty
0.8750-0.9375	0.8750-0.9375		2	below_min_n
0.9375-1.0000	0.8750-0.9375		0	empty
0.0000-0.0625	0.9375-1.0000		15	below_min_n
0.0625-0.1250	0.9375-1.0000		2	below_min_n
0.1250-0.1875	0.9375-1.0000		1	below_min_n
0.1875-0.2500	0.9375-1.0000		4	below_min_n
0.2500-0.3125	0.9375-1.0000		3	below_min_n
0.3125-0.3750	0.9375-1.0000		1	below_min_n
0.3750-0.4375	0.9375-1.0000		4	below_min_n
0.4375-0.5000	0.9375-1.0000		2	below_min_n
0.5000-0.5625	0.9375-1.0000		4	below_min_n
0.5625-0.6250	0.9375-1.0000		1	below_min_n
0.6250-0.6875	0.9375-1.0000		2	below_min_n
0.6875-0.7500	0.9375-1.0000		3	below_min_n
0.7500-0.8125	0.9375-1.0000		4	below_min_n
0.8125-0.8750	0.9375-1.0000		1	below_min_n
0.8750-0.9375	0.9375-1.0000		2	below_min_n
0.9375-1.0000	0.9375-1.0000		3	below_min_n

=== bitcoin-alpha | variant=out_out | binning=fixed | n_buckets=32 | model=walk_full ===
src_entropy_range	tgt_entropy_range	auc	n	note
0.0000-0.0312	0.0000-0.0312	1.0000	533	
0.0312-0.0625	0.0000-0.0312		0	empty
0.0625-0.0938	0.0000-0.0312		69	single_class
0.0938-0.1250	0.0000-0.0312		9	below_min_n
0.1250-0.1562	0.0000-0.0312	1.0000	29	
0.1562-0.1875	0.0000-0.0312	1.0000	46	
0.1875-0.2188	0.0000-0.0312		37	single_class
0.2188-0.2500	0.0000-0.0312		39	single_class
0.2500-0.2812	0.0000-0.0312		18	below_min_n
0.2812-0.3125	0.0000-0.0312	1.0000	25	
0.3125-0.3438	0.0000-0.0312		30	single_class
0.3438-0.3750	0.0000-0.0312	1.0000	37	
0.3750-0.4062	0.0000-0.0312		24	single_class
0.4062-0.4375	0.0000-0.0312	0.8387	32	
0.4375-0.4688	0.0000-0.0312	0.8750	30	
0.4688-0.5000	0.0000-0.0312		12	below_min_n
0.5000-0.5312	0.0000-0.0312	0.9318	26	
0.5312-0.5625	0.0000-0.0312		8	below_min_n
0.5625-0.5938	0.0000-0.0312		10	below_min_n
0.5938-0.6250	0.0000-0.0312		3	below_min_n
0.6250-0.6562	0.0000-0.0312		13	below_min_n
0.6562-0.6875	0.0000-0.0312		7	below_min_n
0.6875-0.7188	0.0000-0.0312	0.4545	23	
0.7188-0.7500	0.0000-0.0312		14	below_min_n
0.7500-0.7812	0.0000-0.0312		7	below_min_n
0.7812-0.8125	0.0000-0.0312		6	below_min_n
0.8125-0.8438	0.0000-0.0312	1.0000	24	
0.8438-0.8750	0.0000-0.0312		6	below_min_n
0.8750-0.9062	0.0000-0.0312		2	below_min_n
0.9062-0.9375	0.0000-0.0312		12	below_min_n
0.9375-0.9688	0.0000-0.0312		0	empty
0.9688-1.0000	0.0000-0.0312	0.6970	20	
0.0000-0.0312	0.0312-0.0625		0	empty
0.0312-0.0625	0.0312-0.0625		0	empty
0.0625-0.0938	0.0312-0.0625		0	empty
0.0938-0.1250	0.0312-0.0625		0	empty
0.1250-0.1562	0.0312-0.0625		0	empty
0.1562-0.1875	0.0312-0.0625		0	empty
0.1875-0.2188	0.0312-0.0625		0	empty
0.2188-0.2500	0.0312-0.0625		0	empty
0.2500-0.2812	0.0312-0.0625		0	empty
0.2812-0.3125	0.0312-0.0625		0	empty
0.3125-0.3438	0.0312-0.0625		0	empty
0.3438-0.3750	0.0312-0.0625		0	empty
0.3750-0.4062	0.0312-0.0625		0	empty
0.4062-0.4375	0.0312-0.0625		0	empty
0.4375-0.4688	0.0312-0.0625		0	empty
0.4688-0.5000	0.0312-0.0625		0	empty
0.5000-0.5312	0.0312-0.0625		0	empty
0.5312-0.5625	0.0312-0.0625		0	empty
0.5625-0.5938	0.0312-0.0625		0	empty
0.5938-0.6250	0.0312-0.0625		0	empty
0.6250-0.6562	0.0312-0.0625		0	empty
0.6562-0.6875	0.0312-0.0625		0	empty
0.6875-0.7188	0.0312-0.0625		0	empty
0.7188-0.7500	0.0312-0.0625		0	empty
0.7500-0.7812	0.0312-0.0625		0	empty
0.7812-0.8125	0.0312-0.0625		0	empty
0.8125-0.8438	0.0312-0.0625		0	empty
0.8438-0.8750	0.0312-0.0625		0	empty
0.8750-0.9062	0.0312-0.0625		0	empty
0.9062-0.9375	0.0312-0.0625		0	empty
0.9375-0.9688	0.0312-0.0625		0	empty
0.9688-1.0000	0.0312-0.0625		0	empty
0.0000-0.0312	0.0625-0.0938		62	single_class
0.0312-0.0625	0.0625-0.0938		0	empty
0.0625-0.0938	0.0625-0.0938		0	empty
0.0938-0.1250	0.0625-0.0938		3	below_min_n
0.1250-0.1562	0.0625-0.0938		1	below_min_n
0.1562-0.1875	0.0625-0.0938		4	below_min_n
0.1875-0.2188	0.0625-0.0938		1	below_min_n
0.2188-0.2500	0.0625-0.0938		2	below_min_n
0.2500-0.2812	0.0625-0.0938		1	below_min_n
0.2812-0.3125	0.0625-0.0938		4	below_min_n
0.3125-0.3438	0.0625-0.0938		1	below_min_n
0.3438-0.3750	0.0625-0.0938		3	below_min_n
0.3750-0.4062	0.0625-0.0938		0	empty
0.4062-0.4375	0.0625-0.0938		2	below_min_n
0.4375-0.4688	0.0625-0.0938		2	below_min_n
0.4688-0.5000	0.0625-0.0938		3	below_min_n
0.5000-0.5312	0.0625-0.0938		0	empty
0.5312-0.5625	0.0625-0.0938		1	below_min_n
0.5625-0.5938	0.0625-0.0938		1	below_min_n
0.5938-0.6250	0.0625-0.0938		1	below_min_n
0.6250-0.6562	0.0625-0.0938		1	below_min_n
0.6562-0.6875	0.0625-0.0938		1	below_min_n
0.6875-0.7188	0.0625-0.0938		1	below_min_n
0.7188-0.7500	0.0625-0.0938		1	below_min_n
0.7500-0.7812	0.0625-0.0938		0	empty
0.7812-0.8125	0.0625-0.0938		2	below_min_n
0.8125-0.8438	0.0625-0.0938		0	empty
0.8438-0.8750	0.0625-0.0938		0	empty
0.8750-0.9062	0.0625-0.0938		0	empty
0.9062-0.9375	0.0625-0.0938		1	below_min_n
0.9375-0.9688	0.0625-0.0938		0	empty
0.9688-1.0000	0.0625-0.0938		0	empty
0.0000-0.0312	0.0938-0.1250		14	below_min_n
0.0312-0.0625	0.0938-0.1250		0	empty
0.0625-0.0938	0.0938-0.1250		1	below_min_n
0.0938-0.1250	0.0938-0.1250		0	empty
0.1250-0.1562	0.0938-0.1250		0	empty
0.1562-0.1875	0.0938-0.1250		0	empty
0.1875-0.2188	0.0938-0.1250		2	below_min_n
0.2188-0.2500	0.0938-0.1250		0	empty
0.2500-0.2812	0.0938-0.1250		0	empty
0.2812-0.3125	0.0938-0.1250		0	empty
0.3125-0.3438	0.0938-0.1250		0	empty
0.3438-0.3750	0.0938-0.1250		1	below_min_n
0.3750-0.4062	0.0938-0.1250		0	empty
0.4062-0.4375	0.0938-0.1250		0	empty
0.4375-0.4688	0.0938-0.1250		0	empty
0.4688-0.5000	0.0938-0.1250		0	empty
0.5000-0.5312	0.0938-0.1250		0	empty
0.5312-0.5625	0.0938-0.1250		2	below_min_n
0.5625-0.5938	0.0938-0.1250		0	empty
0.5938-0.6250	0.0938-0.1250		1	below_min_n
0.6250-0.6562	0.0938-0.1250		0	empty
0.6562-0.6875	0.0938-0.1250		0	empty
0.6875-0.7188	0.0938-0.1250		1	below_min_n
0.7188-0.7500	0.0938-0.1250		0	empty
0.7500-0.7812	0.0938-0.1250		1	below_min_n
0.7812-0.8125	0.0938-0.1250		0	empty
0.8125-0.8438	0.0938-0.1250		0	empty
0.8438-0.8750	0.0938-0.1250		0	empty
0.8750-0.9062	0.0938-0.1250		0	empty
0.9062-0.9375	0.0938-0.1250		0	empty
0.9375-0.9688	0.0938-0.1250		0	empty
0.9688-1.0000	0.0938-0.1250		0	empty
0.0000-0.0312	0.1250-0.1562		25	single_class
0.0312-0.0625	0.1250-0.1562		0	empty
0.0625-0.0938	0.1250-0.1562		5	below_min_n
0.0938-0.1250	0.1250-0.1562		1	below_min_n
0.1250-0.1562	0.1250-0.1562		2	below_min_n
0.1562-0.1875	0.1250-0.1562		3	below_min_n
0.1875-0.2188	0.1250-0.1562		3	below_min_n
0.2188-0.2500	0.1250-0.1562		1	below_min_n
0.2500-0.2812	0.1250-0.1562		0	empty
0.2812-0.3125	0.1250-0.1562		1	below_min_n
0.3125-0.3438	0.1250-0.1562		0	empty
0.3438-0.3750	0.1250-0.1562		1	below_min_n
0.3750-0.4062	0.1250-0.1562		1	below_min_n
0.4062-0.4375	0.1250-0.1562		1	below_min_n
0.4375-0.4688	0.1250-0.1562		3	below_min_n
0.4688-0.5000	0.1250-0.1562		0	empty
0.5000-0.5312	0.1250-0.1562		2	below_min_n
0.5312-0.5625	0.1250-0.1562		0	empty
0.5625-0.5938	0.1250-0.1562		1	below_min_n
0.5938-0.6250	0.1250-0.1562		0	empty
0.6250-0.6562	0.1250-0.1562		0	empty
0.6562-0.6875	0.1250-0.1562		0	empty
0.6875-0.7188	0.1250-0.1562		1	below_min_n
0.7188-0.7500	0.1250-0.1562		1	below_min_n
0.7500-0.7812	0.1250-0.1562		0	empty
0.7812-0.8125	0.1250-0.1562		0	empty
0.8125-0.8438	0.1250-0.1562		1	below_min_n
0.8438-0.8750	0.1250-0.1562		0	empty
0.8750-0.9062	0.1250-0.1562		0	empty
0.9062-0.9375	0.1250-0.1562		1	below_min_n
0.9375-0.9688	0.1250-0.1562		0	empty
0.9688-1.0000	0.1250-0.1562		0	empty
0.0000-0.0312	0.1562-0.1875		54	single_class
0.0312-0.0625	0.1562-0.1875		0	empty
0.0625-0.0938	0.1562-0.1875		2	below_min_n
0.0938-0.1250	0.1562-0.1875		0	empty
0.1250-0.1562	0.1562-0.1875		2	below_min_n
0.1562-0.1875	0.1562-0.1875		2	below_min_n
0.1875-0.2188	0.1562-0.1875		2	below_min_n
0.2188-0.2500	0.1562-0.1875		3	below_min_n
0.2500-0.2812	0.1562-0.1875		4	below_min_n
0.2812-0.3125	0.1562-0.1875		2	below_min_n
0.3125-0.3438	0.1562-0.1875		3	below_min_n
0.3438-0.3750	0.1562-0.1875		2	below_min_n
0.3750-0.4062	0.1562-0.1875		3	below_min_n
0.4062-0.4375	0.1562-0.1875		1	below_min_n
0.4375-0.4688	0.1562-0.1875		3	below_min_n
0.4688-0.5000	0.1562-0.1875		1	below_min_n
0.5000-0.5312	0.1562-0.1875		0	empty
0.5312-0.5625	0.1562-0.1875		1	below_min_n
0.5625-0.5938	0.1562-0.1875		0	empty
0.5938-0.6250	0.1562-0.1875		1	below_min_n
0.6250-0.6562	0.1562-0.1875		1	below_min_n
0.6562-0.6875	0.1562-0.1875		0	empty
0.6875-0.7188	0.1562-0.1875		2	below_min_n
0.7188-0.7500	0.1562-0.1875		0	empty
0.7500-0.7812	0.1562-0.1875		0	empty
0.7812-0.8125	0.1562-0.1875		0	empty
0.8125-0.8438	0.1562-0.1875		0	empty
0.8438-0.8750	0.1562-0.1875		0	empty
0.8750-0.9062	0.1562-0.1875		0	empty
0.9062-0.9375	0.1562-0.1875		0	empty
0.9375-0.9688	0.1562-0.1875		0	empty
0.9688-1.0000	0.1562-0.1875		1	below_min_n
0.0000-0.0312	0.1875-0.2188		31	single_class
0.0312-0.0625	0.1875-0.2188		0	empty
0.0625-0.0938	0.1875-0.2188		2	below_min_n
0.0938-0.1250	0.1875-0.2188		0	empty
0.1250-0.1562	0.1875-0.2188		1	below_min_n
0.1562-0.1875	0.1875-0.2188		2	below_min_n
0.1875-0.2188	0.1875-0.2188		1	below_min_n
0.2188-0.2500	0.1875-0.2188		3	below_min_n
0.2500-0.2812	0.1875-0.2188		1	below_min_n
0.2812-0.3125	0.1875-0.2188		0	empty
0.3125-0.3438	0.1875-0.2188		0	empty
0.3438-0.3750	0.1875-0.2188		4	below_min_n
0.3750-0.4062	0.1875-0.2188		1	below_min_n
0.4062-0.4375	0.1875-0.2188		2	below_min_n
0.4375-0.4688	0.1875-0.2188		1	below_min_n
0.4688-0.5000	0.1875-0.2188		1	below_min_n
0.5000-0.5312	0.1875-0.2188		2	below_min_n
0.5312-0.5625	0.1875-0.2188		0	empty
0.5625-0.5938	0.1875-0.2188		0	empty
0.5938-0.6250	0.1875-0.2188		2	below_min_n
0.6250-0.6562	0.1875-0.2188		1	below_min_n
0.6562-0.6875	0.1875-0.2188		0	empty
0.6875-0.7188	0.1875-0.2188		0	empty
0.7188-0.7500	0.1875-0.2188		1	below_min_n
0.7500-0.7812	0.1875-0.2188		0	empty
0.7812-0.8125	0.1875-0.2188		0	empty
0.8125-0.8438	0.1875-0.2188		0	empty
0.8438-0.8750	0.1875-0.2188		0	empty
0.8750-0.9062	0.1875-0.2188		0	empty
0.9062-0.9375	0.1875-0.2188		1	below_min_n
0.9375-0.9688	0.1875-0.2188		0	empty
0.9688-1.0000	0.1875-0.2188		1	below_min_n
0.0000-0.0312	0.2188-0.2500		34	single_class
0.0312-0.0625	0.2188-0.2500		0	empty
0.0625-0.0938	0.2188-0.2500		3	below_min_n
0.0938-0.1250	0.2188-0.2500		0	empty
0.1250-0.1562	0.2188-0.2500		1	below_min_n
0.1562-0.1875	0.2188-0.2500		2	below_min_n
0.1875-0.2188	0.2188-0.2500		2	below_min_n
0.2188-0.2500	0.2188-0.2500		2	below_min_n
0.2500-0.2812	0.2188-0.2500		1	below_min_n
0.2812-0.3125	0.2188-0.2500		1	below_min_n
0.3125-0.3438	0.2188-0.2500		2	below_min_n
0.3438-0.3750	0.2188-0.2500		1	below_min_n
0.3750-0.4062	0.2188-0.2500		0	empty
0.4062-0.4375	0.2188-0.2500		2	below_min_n
0.4375-0.4688	0.2188-0.2500		0	empty
0.4688-0.5000	0.2188-0.2500		0	empty
0.5000-0.5312	0.2188-0.2500		1	below_min_n
0.5312-0.5625	0.2188-0.2500		1	below_min_n
0.5625-0.5938	0.2188-0.2500		2	below_min_n
0.5938-0.6250	0.2188-0.2500		1	below_min_n
0.6250-0.6562	0.2188-0.2500		1	below_min_n
0.6562-0.6875	0.2188-0.2500		1	below_min_n
0.6875-0.7188	0.2188-0.2500		0	empty
0.7188-0.7500	0.2188-0.2500		0	empty
0.7500-0.7812	0.2188-0.2500		2	below_min_n
0.7812-0.8125	0.2188-0.2500		1	below_min_n
0.8125-0.8438	0.2188-0.2500		0	empty
0.8438-0.8750	0.2188-0.2500		0	empty
0.8750-0.9062	0.2188-0.2500		0	empty
0.9062-0.9375	0.2188-0.2500		1	below_min_n
0.9375-0.9688	0.2188-0.2500		0	empty
0.9688-1.0000	0.2188-0.2500		1	below_min_n
0.0000-0.0312	0.2500-0.2812		17	below_min_n
0.0312-0.0625	0.2500-0.2812		0	empty
0.0625-0.0938	0.2500-0.2812		0	empty
0.0938-0.1250	0.2500-0.2812		0	empty
0.1250-0.1562	0.2500-0.2812		0	empty
0.1562-0.1875	0.2500-0.2812		0	empty
0.1875-0.2188	0.2500-0.2812		1	below_min_n
0.2188-0.2500	0.2500-0.2812		0	empty
0.2500-0.2812	0.2500-0.2812		0	empty
0.2812-0.3125	0.2500-0.2812		2	below_min_n
0.3125-0.3438	0.2500-0.2812		2	below_min_n
0.3438-0.3750	0.2500-0.2812		1	below_min_n
0.3750-0.4062	0.2500-0.2812		2	below_min_n
0.4062-0.4375	0.2500-0.2812		0	empty
0.4375-0.4688	0.2500-0.2812		1	below_min_n
0.4688-0.5000	0.2500-0.2812		0	empty
0.5000-0.5312	0.2500-0.2812		2	below_min_n
0.5312-0.5625	0.2500-0.2812		1	below_min_n
0.5625-0.5938	0.2500-0.2812		0	empty
0.5938-0.6250	0.2500-0.2812		1	below_min_n
0.6250-0.6562	0.2500-0.2812		0	empty
0.6562-0.6875	0.2500-0.2812		1	below_min_n
0.6875-0.7188	0.2500-0.2812		0	empty
0.7188-0.7500	0.2500-0.2812		2	below_min_n
0.7500-0.7812	0.2500-0.2812		0	empty
0.7812-0.8125	0.2500-0.2812		0	empty
0.8125-0.8438	0.2500-0.2812		1	below_min_n
0.8438-0.8750	0.2500-0.2812		0	empty
0.8750-0.9062	0.2500-0.2812		0	empty
0.9062-0.9375	0.2500-0.2812		0	empty
0.9375-0.9688	0.2500-0.2812		0	empty
0.9688-1.0000	0.2500-0.2812		0	empty
0.0000-0.0312	0.2812-0.3125		23	single_class
0.0312-0.0625	0.2812-0.3125		0	empty
0.0625-0.0938	0.2812-0.3125		2	below_min_n
0.0938-0.1250	0.2812-0.3125		0	empty
0.1250-0.1562	0.2812-0.3125		1	below_min_n
0.1562-0.1875	0.2812-0.3125		0	empty
0.1875-0.2188	0.2812-0.3125		1	below_min_n
0.2188-0.2500	0.2812-0.3125		1	below_min_n
0.2500-0.2812	0.2812-0.3125		1	below_min_n
0.2812-0.3125	0.2812-0.3125		2	below_min_n
0.3125-0.3438	0.2812-0.3125		1	below_min_n
